drug_class,analysis_role,generic_or_group,alias,database_scope,match_type,primary_culprit_class,notes
antibiotic_anchor,primary,gentamicin,ゲンタマイシン,JADER,contains,yes,
antibiotic_anchor,primary,clindamycin,clindamycin,FAERS_Canada,contains,yes,
antibiotic_anchor,primary,clindamycin,クリンダマイシン,JADER,contains,yes,
antibiotic_anchor,primary,metronidazole,metronidazole,FAERS_Canada,contains,yes,
antibiotic_anchor,primary,metronidazole,メトロニダゾール,JADER,contains,yes,
antibiotic_anchor,primary,piperacillin_tazobactam,piperacillin,FAERS_Canada,contains,yes,
antibiotic_anchor,primary,piperacillin_tazobactam,tazobactam,FAERS_Canada,contains,yes,
antibiotic_anchor,primary,piperacillin_tazobactam,ピペラシリン,JADER,contains,yes,
antibiotic_anchor,primary,piperacillin_tazobactam,タゾバクタム,JADER,contains,yes,
chlorhexidine,primary,chlorhexidine,chlorhexidine,FAERS_Canada,contains,yes,
chlorhexidine,primary,chlorhexidine,hibiscrub,FAERS_Canada,contains,yes,Product alias.
chlorhexidine,primary,chlorhexidine,chloraprep,FAERS_Canada,contains,yes,Product alias.
chlorhexidine,primary,chlorhexidine,クロルヘキシジン,JADER,contains,yes,
dye_anchor,primary,patent_blue,patent blue,FAERS_Canada,contains,yes,
dye_anchor,primary,patent_blue,パテントブルー,JADER,contains,yes,
dye_anchor,primary,isosulfan_blue,isosulfan blue,FAERS_Canada,contains,yes,
dye_anchor,primary,methylene_blue,methylene blue,FAERS_Canada,contains,yes,
dye_anchor,primary,methylene_blue,メチレンブルー,JADER,contains,yes,
dye_anchor,primary,indigo_carmine,indigo carmine,FAERS_Canada,contains,yes,
dye_anchor,primary,indigo_carmine,インジゴカルミン,JADER,contains,yes,
dye_anchor,primary,indocyanine_green,indocyanine green,FAERS_Canada,contains,yes,
dye_anchor,primary,indocyanine_green,インドシアニングリーン,JADER,contains,yes,
sedative_hypnotic,background,propofol,propofol,FAERS_Canada,contains,no,
sedative_hypnotic,background,propofol,プロポフォール,JADER,contains,no,
sedative_hypnotic,background,midazolam,midazolam,FAERS_Canada,contains,no,
sedative_hypnotic,background,midazolam,ミダゾラム,JADER,contains,no,
sedative_hypnotic,background,ketamine,ketamine,FAERS_Canada,contains,no,
sedative_hypnotic,background,ketamine,ケタミン,JADER,contains,no,
opioid,background,fentanyl,fentanyl,FAERS_Canada,contains,no,
opioid,background,fentanyl,フェンタニル,JADER,contains,no,
opioid,background,remifentanil,remifentanil,FAERS_Canada,contains,no,
opioid,background,remifentanil,レミフェンタニル,JADER,contains,no,
volatile_anesthetic,background,sevoflurane,sevoflurane,FAERS_Canada,contains,no,
volatile_anesthetic,background,sevoflurane,セボフルラン,JADER,contains,no,
volatile_anesthetic,background,desflurane,desflurane,FAERS_Canada,contains,no,
volatile_anesthetic,background,desflurane,デスフルラン,JADER,contains,no,
volatile_anesthetic,background,isoflurane,isoflurane,FAERS_Canada,contains,no,
volatile_anesthetic,background,isoflurane,イソフルラン,JADER,contains,no,
local_anesthetic,background,lidocaine,lidocaine,FAERS_Canada,contains,no,
local_anesthetic,background,lidocaine,リドカイン,JADER,contains,no,
local_anesthetic,background,bupivacaine,bupivacaine,FAERS_Canada,contains,no,
local_anesthetic,background,bupivacaine,ブピバカイン,JADER,contains,no,
local_anesthetic,background,ropivacaine,ropivacaine,FAERS_Canada,contains,no,
local_anesthetic,background,ropivacaine,ロピバカイン,JADER,contains,no,
vasoactive_rescue,background,epinephrine,epinephrine,FAERS_Canada,contains,no,
vasoactive_rescue,background,epinephrine,adrenaline,FAERS_Canada,contains,no,
vasoactive_rescue,background,epinephrine,アドレナリン,JADER,contains,no,
vasoactive_rescue,background,norepinephrine,norepinephrine,FAERS_Canada,contains,no,
vasoactive_rescue,background,norepinephrine,noradrenaline,FAERS_Canada,contains,no,
vasoactive_rescue,background,norepinephrine,ノルアドレナリン,JADER,contains,no,
vasoactive_rescue,background,phenylephrine,phenylephrine,FAERS_Canada,contains,no,
vasoactive_rescue,background,phenylephrine,フェニレフリン,JADER,contains,no,
vasoactive_rescue,background,ephedrine,ephedrine,FAERS_Canada,contains,no,
vasoactive_rescue,background,ephedrine,エフェドリン,JADER,contains,no,

