"year","quarter","filename","url"
"2018","q2","faers_ascii_2018q2.zip","https://fis.fda.gov/content/Exports/faers_ascii_2018q2.zip"
"2018","q3","faers_ascii_2018q3.zip","https://fis.fda.gov/content/Exports/faers_ascii_2018q3.zip"
"2018","q4","faers_ascii_2018q4.zip","https://fis.fda.gov/content/Exports/faers_ascii_2018q4.zip"
"2019","q1","faers_ascii_2019Q1.zip","https://fis.fda.gov/content/Exports/faers_ascii_2019Q1.zip"
"2019","q2","faers_ascii_2019Q2.zip","https://fis.fda.gov/content/Exports/faers_ascii_2019Q2.zip"
"2019","q3","faers_ascii_2019Q3.zip","https://fis.fda.gov/content/Exports/faers_ascii_2019Q3.zip"
"2019","q4","faers_ascii_2019Q4.zip","https://fis.fda.gov/content/Exports/faers_ascii_2019Q4.zip"
"2020","q1","faers_ascii_2020Q1.zip","https://fis.fda.gov/content/Exports/faers_ascii_2020Q1.zip"
"2020","q2","faers_ascii_2020Q2.zip","https://fis.fda.gov/content/Exports/faers_ascii_2020Q2.zip"
"2020","q3","faers_ascii_2020Q3.zip","https://fis.fda.gov/content/Exports/faers_ascii_2020Q3.zip"
"2020","q4","faers_ascii_2020Q4.zip","https://fis.fda.gov/content/Exports/faers_ascii_2020Q4.zip"
"2021","q1","faers_ascii_2021Q1.zip","https://fis.fda.gov/content/Exports/faers_ascii_2021Q1.zip"
"2021","q2","faers_ascii_2021Q2.zip","https://fis.fda.gov/content/Exports/faers_ascii_2021Q2.zip"
"2021","q3","faers_ascii_2021Q3.zip","https://fis.fda.gov/content/Exports/faers_ascii_2021Q3.zip"
"2021","q4","faers_ascii_2021Q4.zip","https://fis.fda.gov/content/Exports/faers_ascii_2021Q4.zip"
"2022","q1","faers_ascii_2022q1.zip","https://fis.fda.gov/content/Exports/faers_ascii_2022q1.zip"
"2022","q2","faers_ascii_2022q2.zip","https://fis.fda.gov/content/Exports/faers_ascii_2022q2.zip"
"2022","q3","faers_ascii_2022Q3.zip","https://fis.fda.gov/content/Exports/faers_ascii_2022Q3.zip"
"2022","q4","faers_ascii_2022Q4.zip","https://fis.fda.gov/content/Exports/faers_ascii_2022Q4.zip"
"2023","q1","faers_ascii_2023q1.zip","https://fis.fda.gov/content/Exports/faers_ascii_2023q1.zip"
"2023","q2","faers_ascii_2023q2.zip","https://fis.fda.gov/content/Exports/faers_ascii_2023q2.zip"
"2023","q3","faers_ascii_2023Q3.zip","https://fis.fda.gov/content/Exports/faers_ascii_2023Q3.zip"
"2023","q4","faers_ascii_2023Q4.zip","https://fis.fda.gov/content/Exports/faers_ascii_2023Q4.zip"
"2024","q1","faers_ascii_2024q1.zip","https://fis.fda.gov/content/Exports/faers_ascii_2024q1.zip"
"2024","q2","faers_ascii_2024q2.zip","https://fis.fda.gov/content/Exports/faers_ascii_2024q2.zip"
"2024","q3","faers_ascii_2024q3.zip","https://fis.fda.gov/content/Exports/faers_ascii_2024q3.zip"
"2024","q4","faers_ascii_2024Q4.zip","https://fis.fda.gov/content/Exports/faers_ascii_2024Q4.zip"
"2025","q1","faers_ascii_2025q1.zip","https://fis.fda.gov/content/Exports/faers_ascii_2025q1.zip"
"2025","q2","faers_ascii_2025q2.zip","https://fis.fda.gov/content/Exports/faers_ascii_2025q2.zip"
"2025","q3","faers_ascii_2025q3.zip","https://fis.fda.gov/content/Exports/faers_ascii_2025q3.zip"
"2025","q4","faers_ascii_2025Q4.zip","https://fis.fda.gov/content/Exports/faers_ascii_2025Q4.zip"
