database,report_round,year_quarter,report_n,core_anaphylaxis_n,core_anaphylaxis_percent,purpose
JADER,01,2004・第一,2030,113,5.566502463054187,Source-structure density audit; not a time-trend or incidence analysis.
JADER,01,2006・第一,1845,95,5.149051490514905,Source-structure density audit; not a time-trend or incidence analysis.
JADER,02,2006・第一,2817,151,5.360312389066383,Source-structure density audit; not a time-trend or incidence analysis.
JADER,03,2006・第一,899,26,2.8921023359288096,Source-structure density audit; not a time-trend or incidence analysis.
JADER,04,2006・第一,248,7,2.8225806451612905,Source-structure density audit; not a time-trend or incidence analysis.
JADER,05,2006・第一,64,0,0.0,Source-structure density audit; not a time-trend or incidence analysis.
JADER,06,2006・第一,24,0,0.0,Source-structure density audit; not a time-trend or incidence analysis.
JADER,07,2006・第一,9,0,0.0,Source-structure density audit; not a time-trend or incidence analysis.
JADER,01,2006・第三,2125,123,5.788235294117647,Source-structure density audit; not a time-trend or incidence analysis.
JADER,02,2006・第三,3138,141,4.493307839388145,Source-structure density audit; not a time-trend or incidence analysis.
JADER,03,2006・第三,1011,19,1.8793273986152323,Source-structure density audit; not a time-trend or incidence analysis.
JADER,04,2006・第三,281,2,0.7117437722419929,Source-structure density audit; not a time-trend or incidence analysis.
JADER,05,2006・第三,85,0,0.0,Source-structure density audit; not a time-trend or incidence analysis.
JADER,06,2006・第三,36,0,0.0,Source-structure density audit; not a time-trend or incidence analysis.
JADER,07,2006・第三,7,0,0.0,Source-structure density audit; not a time-trend or incidence analysis.
JADER,08,2006・第三,2,0,0.0,Source-structure density audit; not a time-trend or incidence analysis.
JADER,01,2006・第二,1835,86,4.686648501362398,Source-structure density audit; not a time-trend or incidence analysis.
JADER,02,2006・第二,2892,132,4.564315352697095,Source-structure density audit; not a time-trend or incidence analysis.
JADER,03,2006・第二,943,27,2.863202545068929,Source-structure density audit; not a time-trend or incidence analysis.
JADER,04,2006・第二,250,1,0.4,Source-structure density audit; not a time-trend or incidence analysis.
JADER,05,2006・第二,80,0,0.0,Source-structure density audit; not a time-trend or incidence analysis.
JADER,06,2006・第二,17,0,0.0,Source-structure density audit; not a time-trend or incidence analysis.
JADER,07,2006・第二,8,0,0.0,Source-structure density audit; not a time-trend or incidence analysis.
JADER,08,2006・第二,2,0,0.0,Source-structure density audit; not a time-trend or incidence analysis.
JADER,09,2006・第二,1,0,0.0,Source-structure density audit; not a time-trend or incidence analysis.
JADER,10,2006・第二,1,0,0.0,Source-structure density audit; not a time-trend or incidence analysis.
JADER,01,2006・第四,1665,82,4.924924924924925,Source-structure density audit; not a time-trend or incidence analysis.
JADER,02,2006・第四,2648,125,4.720543806646526,Source-structure density audit; not a time-trend or incidence analysis.
JADER,03,2006・第四,930,18,1.935483870967742,Source-structure density audit; not a time-trend or incidence analysis.
JADER,04,2006・第四,269,5,1.858736059479554,Source-structure density audit; not a time-trend or incidence analysis.
JADER,05,2006・第四,87,0,0.0,Source-structure density audit; not a time-trend or incidence analysis.
JADER,06,2006・第四,29,1,3.4482758620689653,Source-structure density audit; not a time-trend or incidence analysis.
JADER,07,2006・第四,17,0,0.0,Source-structure density audit; not a time-trend or incidence analysis.
JADER,08,2006・第四,4,0,0.0,Source-structure density audit; not a time-trend or incidence analysis.
JADER,09,2006・第四,7,0,0.0,Source-structure density audit; not a time-trend or incidence analysis.
JADER,10,2006・第四,4,0,0.0,Source-structure density audit; not a time-trend or incidence analysis.
JADER,11,2006・第四,1,0,0.0,Source-structure density audit; not a time-trend or incidence analysis.
JADER,01,2007・第一,1748,83,4.748283752860412,Source-structure density audit; not a time-trend or incidence analysis.
JADER,02,2007・第一,2846,141,4.954321855235418,Source-structure density audit; not a time-trend or incidence analysis.
JADER,03,2007・第一,986,12,1.2170385395537526,Source-structure density audit; not a time-trend or incidence analysis.
JADER,04,2007・第一,275,4,1.4545454545454546,Source-structure density audit; not a time-trend or incidence analysis.
JADER,05,2007・第一,88,3,3.409090909090909,Source-structure density audit; not a time-trend or incidence analysis.
JADER,06,2007・第一,36,1,2.7777777777777777,Source-structure density audit; not a time-trend or incidence analysis.
JADER,07,2007・第一,16,0,0.0,Source-structure density audit; not a time-trend or incidence analysis.
JADER,08,2007・第一,2,0,0.0,Source-structure density audit; not a time-trend or incidence analysis.
JADER,09,2007・第一,1,0,0.0,Source-structure density audit; not a time-trend or incidence analysis.
JADER,10,2007・第一,1,0,0.0,Source-structure density audit; not a time-trend or incidence analysis.
JADER,12,2007・第一,2,0,0.0,Source-structure density audit; not a time-trend or incidence analysis.
JADER,01,2007・第三,2140,83,3.878504672897196,Source-structure density audit; not a time-trend or incidence analysis.
JADER,02,2007・第三,3508,180,5.131128848346636,Source-structure density audit; not a time-trend or incidence analysis.
JADER,03,2007・第三,1253,32,2.5538707102952913,Source-structure density audit; not a time-trend or incidence analysis.
JADER,04,2007・第三,395,3,0.759493670886076,Source-structure density audit; not a time-trend or incidence analysis.
JADER,05,2007・第三,94,0,0.0,Source-structure density audit; not a time-trend or incidence analysis.
JADER,06,2007・第三,40,0,0.0,Source-structure density audit; not a time-trend or incidence analysis.
JADER,07,2007・第三,18,0,0.0,Source-structure density audit; not a time-trend or incidence analysis.
JADER,08,2007・第三,7,0,0.0,Source-structure density audit; not a time-trend or incidence analysis.
JADER,09,2007・第三,4,0,0.0,Source-structure density audit; not a time-trend or incidence analysis.
JADER,32,2007・第三,1,0,0.0,Source-structure density audit; not a time-trend or incidence analysis.
JADER,01,2007・第二,1710,73,4.269005847953216,Source-structure density audit; not a time-trend or incidence analysis.
JADER,02,2007・第二,2775,145,5.225225225225225,Source-structure density audit; not a time-trend or incidence analysis.
JADER,03,2007・第二,1037,31,2.9893924783027965,Source-structure density audit; not a time-trend or incidence analysis.
JADER,04,2007・第二,290,4,1.3793103448275863,Source-structure density audit; not a time-trend or incidence analysis.
JADER,05,2007・第二,98,0,0.0,Source-structure density audit; not a time-trend or incidence analysis.
JADER,06,2007・第二,45,1,2.2222222222222223,Source-structure density audit; not a time-trend or incidence analysis.
JADER,07,2007・第二,15,0,0.0,Source-structure density audit; not a time-trend or incidence analysis.
JADER,08,2007・第二,6,0,0.0,Source-structure density audit; not a time-trend or incidence analysis.
JADER,10,2007・第二,2,0,0.0,Source-structure density audit; not a time-trend or incidence analysis.
JADER,14,2007・第二,1,0,0.0,Source-structure density audit; not a time-trend or incidence analysis.
JADER,15,2007・第二,2,0,0.0,Source-structure density audit; not a time-trend or incidence analysis.
JADER,01,2007・第四,1710,70,4.093567251461988,Source-structure density audit; not a time-trend or incidence analysis.
JADER,02,2007・第四,2927,137,4.6805603006491285,Source-structure density audit; not a time-trend or incidence analysis.
JADER,03,2007・第四,1058,31,2.9300567107750473,Source-structure density audit; not a time-trend or incidence analysis.
JADER,04,2007・第四,317,4,1.2618296529968454,Source-structure density audit; not a time-trend or incidence analysis.
JADER,05,2007・第四,100,1,1.0,Source-structure density audit; not a time-trend or incidence analysis.
JADER,06,2007・第四,35,1,2.857142857142857,Source-structure density audit; not a time-trend or incidence analysis.
JADER,07,2007・第四,14,0,0.0,Source-structure density audit; not a time-trend or incidence analysis.
JADER,08,2007・第四,1,0,0.0,Source-structure density audit; not a time-trend or incidence analysis.
JADER,10,2007・第四,1,0,0.0,Source-structure density audit; not a time-trend or incidence analysis.
JADER,11,2007・第四,1,0,0.0,Source-structure density audit; not a time-trend or incidence analysis.
JADER,12,2007・第四,1,0,0.0,Source-structure density audit; not a time-trend or incidence analysis.
JADER,13,2007・第四,1,0,0.0,Source-structure density audit; not a time-trend or incidence analysis.
JADER,14,2007・第四,1,0,0.0,Source-structure density audit; not a time-trend or incidence analysis.
JADER,01,2008・第一,1880,121,6.4361702127659575,Source-structure density audit; not a time-trend or incidence analysis.
JADER,02,2008・第一,3029,155,5.117200396170353,Source-structure density audit; not a time-trend or incidence analysis.
JADER,03,2008・第一,1179,29,2.4597116200169635,Source-structure density audit; not a time-trend or incidence analysis.
JADER,04,2008・第一,419,4,0.954653937947494,Source-structure density audit; not a time-trend or incidence analysis.
JADER,05,2008・第一,156,3,1.9230769230769231,Source-structure density audit; not a time-trend or incidence analysis.
JADER,06,2008・第一,65,0,0.0,Source-structure density audit; not a time-trend or incidence analysis.
JADER,07,2008・第一,22,0,0.0,Source-structure density audit; not a time-trend or incidence analysis.
JADER,08,2008・第一,6,0,0.0,Source-structure density audit; not a time-trend or incidence analysis.
JADER,09,2008・第一,2,0,0.0,Source-structure density audit; not a time-trend or incidence analysis.
JADER,10,2008・第一,3,0,0.0,Source-structure density audit; not a time-trend or incidence analysis.
JADER,11,2008・第一,2,0,0.0,Source-structure density audit; not a time-trend or incidence analysis.
JADER,13,2008・第一,2,0,0.0,Source-structure density audit; not a time-trend or incidence analysis.
JADER,14,2008・第一,1,0,0.0,Source-structure density audit; not a time-trend or incidence analysis.
JADER,01,2008・第三,2461,123,4.997968305566843,Source-structure density audit; not a time-trend or incidence analysis.
JADER,02,2008・第三,3470,178,5.129682997118156,Source-structure density audit; not a time-trend or incidence analysis.
JADER,03,2008・第三,1388,39,2.809798270893372,Source-structure density audit; not a time-trend or incidence analysis.
JADER,04,2008・第三,502,2,0.398406374501992,Source-structure density audit; not a time-trend or incidence analysis.
JADER,05,2008・第三,254,3,1.1811023622047243,Source-structure density audit; not a time-trend or incidence analysis.
JADER,06,2008・第三,84,1,1.1904761904761905,Source-structure density audit; not a time-trend or incidence analysis.
JADER,07,2008・第三,31,0,0.0,Source-structure density audit; not a time-trend or incidence analysis.
JADER,08,2008・第三,10,0,0.0,Source-structure density audit; not a time-trend or incidence analysis.
JADER,09,2008・第三,7,0,0.0,Source-structure density audit; not a time-trend or incidence analysis.
JADER,10,2008・第三,7,0,0.0,Source-structure density audit; not a time-trend or incidence analysis.
JADER,11,2008・第三,4,0,0.0,Source-structure density audit; not a time-trend or incidence analysis.
JADER,12,2008・第三,1,0,0.0,Source-structure density audit; not a time-trend or incidence analysis.
JADER,14,2008・第三,2,0,0.0,Source-structure density audit; not a time-trend or incidence analysis.
JADER,16,2008・第三,2,0,0.0,Source-structure density audit; not a time-trend or incidence analysis.
JADER,19,2008・第三,1,0,0.0,Source-structure density audit; not a time-trend or incidence analysis.
JADER,01,2008・第二,1906,108,5.6663168940188875,Source-structure density audit; not a time-trend or incidence analysis.
JADER,02,2008・第二,2890,127,4.3944636678200695,Source-structure density audit; not a time-trend or incidence analysis.
JADER,03,2008・第二,1192,35,2.936241610738255,Source-structure density audit; not a time-trend or incidence analysis.
JADER,04,2008・第二,466,7,1.502145922746781,Source-structure density audit; not a time-trend or incidence analysis.
JADER,05,2008・第二,153,0,0.0,Source-structure density audit; not a time-trend or incidence analysis.
JADER,06,2008・第二,79,1,1.2658227848101267,Source-structure density audit; not a time-trend or incidence analysis.
JADER,07,2008・第二,36,0,0.0,Source-structure density audit; not a time-trend or incidence analysis.
JADER,08,2008・第二,11,0,0.0,Source-structure density audit; not a time-trend or incidence analysis.
JADER,09,2008・第二,10,0,0.0,Source-structure density audit; not a time-trend or incidence analysis.
JADER,10,2008・第二,4,0,0.0,Source-structure density audit; not a time-trend or incidence analysis.
JADER,11,2008・第二,2,0,0.0,Source-structure density audit; not a time-trend or incidence analysis.
JADER,12,2008・第二,1,0,0.0,Source-structure density audit; not a time-trend or incidence analysis.
JADER,14,2008・第二,1,0,0.0,Source-structure density audit; not a time-trend or incidence analysis.
JADER,01,2008・第四,1790,106,5.921787709497207,Source-structure density audit; not a time-trend or incidence analysis.
JADER,02,2008・第四,2996,136,4.539385847797063,Source-structure density audit; not a time-trend or incidence analysis.
JADER,03,2008・第四,1271,25,1.966955153422502,Source-structure density audit; not a time-trend or incidence analysis.
JADER,04,2008・第四,468,5,1.0683760683760684,Source-structure density audit; not a time-trend or incidence analysis.
JADER,05,2008・第四,180,1,0.5555555555555556,Source-structure density audit; not a time-trend or incidence analysis.
JADER,06,2008・第四,75,0,0.0,Source-structure density audit; not a time-trend or incidence analysis.
JADER,07,2008・第四,31,0,0.0,Source-structure density audit; not a time-trend or incidence analysis.
JADER,08,2008・第四,14,0,0.0,Source-structure density audit; not a time-trend or incidence analysis.
JADER,09,2008・第四,11,0,0.0,Source-structure density audit; not a time-trend or incidence analysis.
JADER,10,2008・第四,10,0,0.0,Source-structure density audit; not a time-trend or incidence analysis.
JADER,12,2008・第四,3,0,0.0,Source-structure density audit; not a time-trend or incidence analysis.
JADER,14,2008・第四,1,0,0.0,Source-structure density audit; not a time-trend or incidence analysis.
JADER,16,2008・第四,1,0,0.0,Source-structure density audit; not a time-trend or incidence analysis.
JADER,01,2009・第一,1924,84,4.365904365904366,Source-structure density audit; not a time-trend or incidence analysis.
JADER,02,2009・第一,3148,152,4.828462515883101,Source-structure density audit; not a time-trend or incidence analysis.
JADER,03,2009・第一,1323,31,2.3431594860166287,Source-structure density audit; not a time-trend or incidence analysis.
JADER,04,2009・第一,518,3,0.5791505791505791,Source-structure density audit; not a time-trend or incidence analysis.
JADER,05,2009・第一,210,1,0.47619047619047616,Source-structure density audit; not a time-trend or incidence analysis.
JADER,06,2009・第一,87,1,1.1494252873563218,Source-structure density audit; not a time-trend or incidence analysis.
JADER,07,2009・第一,46,0,0.0,Source-structure density audit; not a time-trend or incidence analysis.
JADER,08,2009・第一,21,0,0.0,Source-structure density audit; not a time-trend or incidence analysis.
JADER,09,2009・第一,10,0,0.0,Source-structure density audit; not a time-trend or incidence analysis.
JADER,10,2009・第一,9,0,0.0,Source-structure density audit; not a time-trend or incidence analysis.
JADER,11,2009・第一,1,0,0.0,Source-structure density audit; not a time-trend or incidence analysis.
JADER,12,2009・第一,2,0,0.0,Source-structure density audit; not a time-trend or incidence analysis.
JADER,13,2009・第一,1,0,0.0,Source-structure density audit; not a time-trend or incidence analysis.
JADER,16,2009・第一,1,0,0.0,Source-structure density audit; not a time-trend or incidence analysis.
JADER,01,2009・第三,2001,127,6.346826586706647,Source-structure density audit; not a time-trend or incidence analysis.
JADER,02,2009・第三,3607,184,5.101192126420848,Source-structure density audit; not a time-trend or incidence analysis.
JADER,03,2009・第三,1452,36,2.479338842975207,Source-structure density audit; not a time-trend or incidence analysis.
JADER,04,2009・第三,560,9,1.6071428571428572,Source-structure density audit; not a time-trend or incidence analysis.
JADER,05,2009・第三,198,4,2.0202020202020203,Source-structure density audit; not a time-trend or incidence analysis.
JADER,06,2009・第三,70,0,0.0,Source-structure density audit; not a time-trend or incidence analysis.
JADER,07,2009・第三,31,0,0.0,Source-structure density audit; not a time-trend or incidence analysis.
JADER,08,2009・第三,13,0,0.0,Source-structure density audit; not a time-trend or incidence analysis.
JADER,09,2009・第三,6,0,0.0,Source-structure density audit; not a time-trend or incidence analysis.
JADER,10,2009・第三,6,0,0.0,Source-structure density audit; not a time-trend or incidence analysis.
JADER,11,2009・第三,1,0,0.0,Source-structure density audit; not a time-trend or incidence analysis.
JADER,12,2009・第三,1,0,0.0,Source-structure density audit; not a time-trend or incidence analysis.
JADER,01,2009・第二,1730,101,5.838150289017341,Source-structure density audit; not a time-trend or incidence analysis.
JADER,02,2009・第二,3159,188,5.95125039569484,Source-structure density audit; not a time-trend or incidence analysis.
JADER,03,2009・第二,1342,30,2.235469448584203,Source-structure density audit; not a time-trend or incidence analysis.
JADER,04,2009・第二,515,6,1.1650485436893203,Source-structure density audit; not a time-trend or incidence analysis.
JADER,05,2009・第二,226,0,0.0,Source-structure density audit; not a time-trend or incidence analysis.
JADER,06,2009・第二,99,1,1.0101010101010102,Source-structure density audit; not a time-trend or incidence analysis.
JADER,07,2009・第二,39,0,0.0,Source-structure density audit; not a time-trend or incidence analysis.
JADER,08,2009・第二,17,0,0.0,Source-structure density audit; not a time-trend or incidence analysis.
JADER,09,2009・第二,7,0,0.0,Source-structure density audit; not a time-trend or incidence analysis.
JADER,10,2009・第二,2,0,0.0,Source-structure density audit; not a time-trend or incidence analysis.
JADER,11,2009・第二,2,0,0.0,Source-structure density audit; not a time-trend or incidence analysis.
JADER,12,2009・第二,1,0,0.0,Source-structure density audit; not a time-trend or incidence analysis.
JADER,13,2009・第二,1,0,0.0,Source-structure density audit; not a time-trend or incidence analysis.
JADER,14,2009・第二,1,0,0.0,Source-structure density audit; not a time-trend or incidence analysis.
JADER,16,2009・第二,1,0,0.0,Source-structure density audit; not a time-trend or incidence analysis.
JADER,01,2009・第四,1872,122,6.517094017094017,Source-structure density audit; not a time-trend or incidence analysis.
JADER,02,2009・第四,3112,132,4.241645244215938,Source-structure density audit; not a time-trend or incidence analysis.
JADER,03,2009・第四,1207,25,2.071251035625518,Source-structure density audit; not a time-trend or incidence analysis.
JADER,04,2009・第四,439,3,0.683371298405467,Source-structure density audit; not a time-trend or incidence analysis.
JADER,05,2009・第四,164,2,1.2195121951219512,Source-structure density audit; not a time-trend or incidence analysis.
JADER,06,2009・第四,68,0,0.0,Source-structure density audit; not a time-trend or incidence analysis.
JADER,07,2009・第四,21,1,4.761904761904762,Source-structure density audit; not a time-trend or incidence analysis.
JADER,08,2009・第四,10,0,0.0,Source-structure density audit; not a time-trend or incidence analysis.
JADER,09,2009・第四,5,0,0.0,Source-structure density audit; not a time-trend or incidence analysis.
JADER,10,2009・第四,1,0,0.0,Source-structure density audit; not a time-trend or incidence analysis.
JADER,11,2009・第四,2,0,0.0,Source-structure density audit; not a time-trend or incidence analysis.
JADER,15,2009・第四,1,0,0.0,Source-structure density audit; not a time-trend or incidence analysis.
JADER,17,2009・第四,1,0,0.0,Source-structure density audit; not a time-trend or incidence analysis.
JADER,18,2009・第四,1,0,0.0,Source-structure density audit; not a time-trend or incidence analysis.
JADER,01,2010・第一,2260,137,6.061946902654867,Source-structure density audit; not a time-trend or incidence analysis.
JADER,02,2010・第一,3258,141,4.327808471454881,Source-structure density audit; not a time-trend or incidence analysis.
JADER,03,2010・第一,1312,34,2.591463414634146,Source-structure density audit; not a time-trend or incidence analysis.
JADER,04,2010・第一,497,5,1.0060362173038229,Source-structure density audit; not a time-trend or incidence analysis.
JADER,05,2010・第一,184,2,1.0869565217391304,Source-structure density audit; not a time-trend or incidence analysis.
JADER,06,2010・第一,59,1,1.694915254237288,Source-structure density audit; not a time-trend or incidence analysis.
JADER,07,2010・第一,22,0,0.0,Source-structure density audit; not a time-trend or incidence analysis.
JADER,08,2010・第一,18,0,0.0,Source-structure density audit; not a time-trend or incidence analysis.
JADER,09,2010・第一,4,0,0.0,Source-structure density audit; not a time-trend or incidence analysis.
JADER,10,2010・第一,7,0,0.0,Source-structure density audit; not a time-trend or incidence analysis.
JADER,11,2010・第一,2,0,0.0,Source-structure density audit; not a time-trend or incidence analysis.
JADER,12,2010・第一,2,0,0.0,Source-structure density audit; not a time-trend or incidence analysis.
JADER,13,2010・第一,1,0,0.0,Source-structure density audit; not a time-trend or incidence analysis.
JADER,01,2010・第三,2575,119,4.621359223300971,Source-structure density audit; not a time-trend or incidence analysis.
JADER,02,2010・第三,3904,166,4.252049180327869,Source-structure density audit; not a time-trend or incidence analysis.
JADER,03,2010・第三,1531,33,2.155453951665578,Source-structure density audit; not a time-trend or incidence analysis.
JADER,04,2010・第三,528,16,3.0303030303030303,Source-structure density audit; not a time-trend or incidence analysis.
JADER,05,2010・第三,241,2,0.8298755186721992,Source-structure density audit; not a time-trend or incidence analysis.
JADER,06,2010・第三,80,0,0.0,Source-structure density audit; not a time-trend or incidence analysis.
JADER,07,2010・第三,46,0,0.0,Source-structure density audit; not a time-trend or incidence analysis.
JADER,08,2010・第三,29,0,0.0,Source-structure density audit; not a time-trend or incidence analysis.
JADER,09,2010・第三,11,0,0.0,Source-structure density audit; not a time-trend or incidence analysis.
JADER,10,2010・第三,6,0,0.0,Source-structure density audit; not a time-trend or incidence analysis.
JADER,11,2010・第三,4,0,0.0,Source-structure density audit; not a time-trend or incidence analysis.
JADER,12,2010・第三,1,0,0.0,Source-structure density audit; not a time-trend or incidence analysis.
JADER,13,2010・第三,1,0,0.0,Source-structure density audit; not a time-trend or incidence analysis.
JADER,14,2010・第三,1,0,0.0,Source-structure density audit; not a time-trend or incidence analysis.
JADER,17,2010・第三,1,0,0.0,Source-structure density audit; not a time-trend or incidence analysis.
JADER,18,2010・第三,1,0,0.0,Source-structure density audit; not a time-trend or incidence analysis.
JADER,01,2010・第二,2321,115,4.954760878931495,Source-structure density audit; not a time-trend or incidence analysis.
JADER,02,2010・第二,3582,148,4.1317699609156895,Source-structure density audit; not a time-trend or incidence analysis.
JADER,03,2010・第二,1417,31,2.1877205363443895,Source-structure density audit; not a time-trend or incidence analysis.
JADER,04,2010・第二,525,11,2.0952380952380953,Source-structure density audit; not a time-trend or incidence analysis.
JADER,05,2010・第二,182,1,0.5494505494505495,Source-structure density audit; not a time-trend or incidence analysis.
